ID;description
3000166;PROVISION DE CALCAREO
3000167;VIAJE ADICIONAL
3000168;SIMA - REMISSE CAT - AEL - VALLE
3000169;TARIFA HORARIA LUZ DIURNA
3000170;TRANSPORTE EQUIPO SUPERIOR A 20 KM
3000171;TRANSPORTE DE CARGAS VARIAS
3000172;ALQUILER MOTOCOMPRESOR
3000173;OBRA CIVIL
3000174;SERVICIO DE FLUSH BY - KM TRANSPORTADOS
3000175;UNIDAD DE HIDRATACION
3000176;CARGO BÁSICO
3000177;SIMA - CAMION CON CARRETON 45 TN
3000178;PALA CARGADORA MEDIANA
3000179;SERVICIO MEDICO LABORAL
3000180;CAMBIO MANGUERA CON TOBERA CARRO PQS
3000181;TECNICO EN SEGURIDAD
3000182;SERVICIO DE LIMPIEZA BANO QUIMICO
3000183;PROVISION DE TREPANO
3000184;SERVICIO TORNERIA CANERIAS Y ACC
3000185;OBRA ELECTRICIDAD
3000186;SIMA - SERVICIO W.O. ANEXO OTROS COSTOS
3000187;ALQUILER EQUIPOS VARIOS
3000188;CARGO BASICO 3000 PSI
3000189;HORA DE FRESADORA
3000190;COMPANY MAN PULLING
3000191;LODO EMULSION INVERSA MW <11.5 PPG
3000192;SERVICIO REPOSICION QUIMICOS AAA
3000193;ARMADO DE BOMBA SRBN110-1
3000194;DESMOVILIZACION
3000195;CAMION REGADOR 23 M3
3000196;SERVICIO DE VIGILANCIA CON PATRULLA
3000197;DESARRAIGO PERSONAL
3000198;CARGO POR PROFUNDIDAD
3000199;TRANSPORTE AGUA POTABLE
3000200;CARGO BASICO OPERACION DE BOMBEO
3000201;MISCELANEOS INSTALACION
3000202;SERVICIO DE BOMBEO
3000203;REMIS TRASB PLOTTIER - ZANON
3000204;TRANSPORTE DE RESIDUOS
3000205;TRASBORDO ZANON - PLOTTIER - 18:30 HS
3000206;ALQUILER MENSUAL OFICINAS NEUQUEN
3000207;CONTRIBUCION POZO TERMINADO
3000208;INSTALACION HERRAMIENTA TELEDRIFT
3000209;TRANSPORTE DE HERRAMIENTAS X KM.
